iter	Logloss
0	0.6864931625
1	0.6817174781
2	0.6763108779
3	0.6719458626
4	0.6682457965
5	0.6648263879
6	0.6627060844
7	0.6603575441
8	0.6583772051
9	0.6569288969
10	0.6549515014
11	0.6536270142
12	0.6523959697
13	0.6516113565
14	0.650128224
15	0.6489772794
16	0.64785872
17	0.6471299006
18	0.6461448051
19	0.6455909039
20	0.6445495087
21	0.6435863155
22	0.6426687505
23	0.6419910455
24	0.64131455
25	0.6405963051
26	0.6399903642
27	0.6393810588
28	0.638795765
29	0.6377542465
30	0.6370356725
31	0.6365591831
32	0.6359796565
33	0.6352398413
34	0.6348590781
35	0.6346159908
36	0.6342317524
37	0.6335498193
38	0.6331074401
39	0.6325922286
40	0.6321778819
41	0.6317890383
42	0.6312225001
43	0.6305473658
44	0.6301077158
45	0.6298252451
46	0.629608473
47	0.6292257353
48	0.6288771257
49	0.6286110012
50	0.6281519719
51	0.6277151439
52	0.6271806887
53	0.6268780345
54	0.6265626229
55	0.6262082665
56	0.6258862517
57	0.6255037402
58	0.6250989499
59	0.624579786
60	0.624331685
61	0.623864667
62	0.6234828577
63	0.6230537714
64	0.6227191989
65	0.6222214905
66	0.6218387501
67	0.6213114505
68	0.620941188
69	0.6207034916
70	0.6204206391
71	0.6200976296
72	0.6198991046
73	0.6195184005
74	0.6192497647
75	0.6189511115
76	0.6183969901
77	0.6180092834
78	0.6177289863
79	0.6175816158
80	0.6172274687
81	0.6167526522
82	0.6162909376
83	0.6160449947
84	0.6158420829
85	0.6155368145
86	0.6153140122
87	0.6150978227
88	0.6147985288
89	0.6145673234
90	0.6143328206
91	0.6140019311
92	0.6137970084
93	0.6136705205
94	0.6132798601
95	0.6130863264
96	0.6128112457
97	0.6125610473
98	0.6122563695
99	0.6120307252
100	0.6119192193
101	0.6114172134
102	0.6111678043
103	0.6109974575
104	0.6107032491
105	0.6105774677
106	0.6103208119
107	0.6101615003
108	0.6098723766
109	0.609541458
110	0.6093745216
111	0.6091612199
112	0.6088033211
113	0.6084936441
114	0.6081366779
115	0.6078579633
116	0.607477763
