iter	Passed	Remaining
0	3	440
1	8	463
2	12	477
3	16	474
4	21	473
5	25	462
6	29	456
7	33	459
8	37	452
9	42	453
10	46	445
11	49	434
12	53	424
13	57	421
14	60	412
15	63	403
16	67	398
17	71	391
18	74	384
19	78	379
20	81	373
21	85	367
22	88	363
23	92	357
24	95	351
25	99	347
26	103	344
27	106	339
28	110	335
29	113	330
30	117	326
31	121	321
32	124	316
33	127	312
34	131	308
35	135	304
36	139	300
37	142	296
38	146	292
39	149	288
40	153	284
41	157	280
42	160	276
43	164	272
44	167	268
45	171	264
46	174	260
47	179	257
48	182	253
49	186	249
50	189	245
51	193	242
52	197	238
53	200	234
54	204	230
55	208	226
56	212	223
57	216	219
58	219	215
59	222	211
60	226	208
61	229	203
62	233	199
63	237	196
64	241	193
65	244	188
66	247	184
67	251	181
68	255	177
69	258	173
70	262	169
71	265	166
72	269	162
73	273	158
74	276	154
75	280	151
76	284	147
77	288	144
78	292	140
79	295	136
80	299	133
81	303	129
82	306	125
83	310	122
84	313	118
85	318	114
86	322	111
87	325	107
88	329	103
89	333	100
90	337	96
91	341	92
92	344	88
93	347	85
94	351	81
95	355	77
96	358	73
97	361	70
98	365	66
99	368	62
100	372	58
101	375	55
102	379	51
103	383	47
104	387	44
105	391	40
106	396	37
107	400	33
108	404	29
109	408	26
110	412	22
111	416	18
112	420	14
113	423	11
114	427	7
115	431	3
116	434	0
