iter	Logloss
0	0.6917806265
1	0.6904246993
2	0.6894263655
3	0.6880924877
4	0.6869216974
5	0.6857655699
6	0.6846945908
7	0.6837828721
8	0.6825456568
9	0.6815496154
10	0.6804144652
11	0.6794100549
12	0.6784485379
13	0.6774579049
14	0.6765615337
15	0.6758885107
16	0.6750301911
17	0.6741496196
18	0.6733492594
19	0.6724440315
20	0.6718979225
21	0.6710549423
22	0.6703481207
23	0.6696757454
24	0.6691500609
25	0.6683895096
26	0.6677354649
27	0.667235359
28	0.6668227741
29	0.6664699167
30	0.6658530531
31	0.6652294772
32	0.6646176121
33	0.6639758735
34	0.6636404235
35	0.6632257561
36	0.6628371109
37	0.6624797615
38	0.6621323503
39	0.6618036034
40	0.6613111524
41	0.6609602493
42	0.6605349304
43	0.6602708758
44	0.6599672892
45	0.6596957363
46	0.6593284414
47	0.6590235861
48	0.6587230961
49	0.6583508811
50	0.6580596854
51	0.6577469448
52	0.6575091691
53	0.6570234416
54	0.6567540181
55	0.6564063801
56	0.6561233766
57	0.6556545636
58	0.6551905083
59	0.6549096393
60	0.6547353295
61	0.6545356624
62	0.6542750649
63	0.6540125602
64	0.653631567
65	0.6532851813
66	0.65306733
67	0.6528686826
68	0.6525614555
69	0.6522837027
70	0.6520455313
71	0.6518476578
72	0.6515907953
73	0.6512098807
74	0.6509687619
75	0.6507657447
76	0.6505240363
77	0.650391997
78	0.6501126114
79	0.6499569577
80	0.6496974008
81	0.6494758269
82	0.6491491547
83	0.6489339463
84	0.6487846588
85	0.6485729447
86	0.6483328331
87	0.6481567043
88	0.6478712957
89	0.6476225347
90	0.647302762
91	0.6471475409
92	0.6470129933
93	0.6468643152
94	0.6466889744
95	0.6464739238
96	0.6463389579
97	0.646185565
98	0.6460338366
99	0.6458637881
100	0.6456852397
101	0.6455215344
102	0.6454085804
103	0.6452628694
104	0.6451347948
105	0.6449545391
106	0.6446438631
107	0.6444884667
108	0.6442914744
109	0.6441300755
110	0.6439604989
111	0.643836426
112	0.6436139709
113	0.6434866541
114	0.6433365203
115	0.6432206696
116	0.6430398928
117	0.6428871743
118	0.6427734368
119	0.6426789318
120	0.6425423037
121	0.6424586492
122	0.6422459533
123	0.6421181717
124	0.6419590806
125	0.6418389241
126	0.6416204813
127	0.6414997161
128	0.6414020059
129	0.6412366458
130	0.6411191176
131	0.6410275983
132	0.6409071311
133	0.6407830788
134	0.6406458413
135	0.6404172501
136	0.6401759659
137	0.6400419264
138	0.6399439686
139	0.6397821029
140	0.6396376775
141	0.6395301777
142	0.6393824421
143	0.6392306609
144	0.6391353206
145	0.6389818828
146	0.6388089505
147	0.6387072877
148	0.6385954479
149	0.6384944427
150	0.6383876098
151	0.6382676306
152	0.6380963096
153	0.6379724221
154	0.6378342298
155	0.6377602912
156	0.6376477938
157	0.6375649322
158	0.6374588566
159	0.637311654
160	0.6372080328
161	0.6370180979
162	0.6369278447
163	0.636804944
164	0.636677655
165	0.6366359944
166	0.6365301799
167	0.6364499714
168	0.636357391
169	0.6361613952
170	0.6360976674
171	0.6359863746
172	0.6359065517
173	0.6357882409
174	0.6356781719
175	0.6355747266
176	0.6354359931
177	0.6353323356
178	0.6352855407
179	0.6350686952
180	0.634932619
181	0.6347904913
182	0.6346687605
183	0.6346011377
184	0.6345101446
185	0.6344281762
186	0.6343148617
187	0.6342369305
188	0.6340603434
189	0.6339540078
190	0.6338236774
191	0.6337475102
192	0.6336517188
193	0.6334940177
194	0.6334161105
195	0.6332557632
196	0.6332132126
197	0.6331281779
198	0.6329828416
199	0.6329154035
200	0.6328147241
201	0.6327005146
202	0.6326033932
203	0.6325212755
204	0.6324418236
205	0.6323708926
206	0.6322945847
207	0.6321911886
208	0.6320808835
209	0.6319329539
210	0.6318513585
211	0.6317485642
212	0.631681313
213	0.6316029768
214	0.6314842167
215	0.6314071687
216	0.6313100961
217	0.6312326024
218	0.6311428702
219	0.6310814871
220	0.6310026973
221	0.6308981179
222	0.6308422508
223	0.6307879926
224	0.6307113285
225	0.6306386709
226	0.6305505488
227	0.6304871562
228	0.6304361879
229	0.630373989
230	0.63028671
231	0.6301988742
232	0.6301243119
233	0.6300200549
234	0.6299307452
235	0.6298845313
236	0.6298018233
237	0.6297414102
238	0.6296564585
239	0.6295411685
240	0.6294846086
241	0.6294186984
242	0.6293714194
243	0.6292958873
244	0.6292066096
245	0.6291343086
246	0.6290573132
247	0.6289631414
248	0.6288758054
249	0.6288051861
250	0.6287511883
251	0.6286479656
252	0.628506302
253	0.6284372413
254	0.6283777627
255	0.6283176241
256	0.6282204144
257	0.6281182336
258	0.6280545469
259	0.6279731008
260	0.6278751639
261	0.627782406
262	0.6277308557
263	0.627666514
264	0.6276121469
265	0.6275367399
266	0.6274745882
267	0.6274359786
268	0.6273385813
269	0.6272655818
270	0.6271598344
271	0.6270962793
272	0.6269788469
273	0.6268928949
274	0.6267937719
275	0.6267116966
276	0.6266353506
277	0.6265397535
278	0.626459643
279	0.6264202825
280	0.6263504724
281	0.6262759272
282	0.6262248571
283	0.6261534323
284	0.6261042632
285	0.6260066958
286	0.6259530976
287	0.6258820777
288	0.6257966088
289	0.6257299238
290	0.6256710858
291	0.6256225181
292	0.6255679328
293	0.6254929873
294	0.6254256305
295	0.6253712217
296	0.6252965779
297	0.6252068432
298	0.6251062194
299	0.6249935152
300	0.6249364929
301	0.6248779396
302	0.6247629086
303	0.6246886692
304	0.6246009357
305	0.6245653838
306	0.6244939929
307	0.6243956742
308	0.6242984589
309	0.6242582344
310	0.6242011796
311	0.6241313581
312	0.6240906971
313	0.6240181236
314	0.6239641366
315	0.6238905134
316	0.6238273946
317	0.6237547583
318	0.6236931274
319	0.6236013788
320	0.6235315767
