iter	Passed	Remaining
0	9	6048
1	14	4565
2	20	4237
3	27	4214
4	32	4012
5	42	4348
6	47	4169
7	54	4151
8	59	4022
9	63	3876
10	70	3890
11	75	3818
12	79	3745
13	87	3793
14	92	3740
15	96	3653
16	103	3694
17	109	3688
18	115	3657
19	124	3746
20	129	3715
21	136	3733
22	144	3760
23	150	3759
24	157	3752
25	161	3708
26	171	3768
27	175	3726
28	181	3713
29	187	3692
30	191	3657
31	195	3610
32	203	3634
33	207	3590
34	212	3558
35	217	3540
36	221	3504
37	225	3463
38	229	3430
39	234	3408
40	238	3377
41	242	3353
42	246	3324
43	249	3282
44	253	3246
45	256	3207
46	260	3181
47	264	3162
48	268	3135
49	271	3105
50	275	3083
51	279	3061
52	283	3038
53	286	3014
54	291	3003
55	295	2984
56	300	2976
57	304	2959
58	308	2940
59	312	2929
60	316	2910
61	320	2893
62	324	2877
63	328	2861
64	332	2845
65	335	2825
66	339	2810
67	343	2795
68	350	2805
69	354	2794
70	359	2786
71	364	2781
72	369	2777
73	374	2771
74	379	2766
75	383	2756
76	388	2748
77	392	2738
78	402	2763
79	405	2746
80	413	2761
81	418	2757
82	424	2757
83	428	2744
84	434	2747
85	440	2742
86	446	2743
87	489	2968
88	498	2983
89	507	3001
90	516	3012
91	523	3016
92	569	3238
93	581	3265
94	589	3267
95	597	3275
96	629	3405
97	647	3461
98	656	3469
99	664	3468
100	672	3470
101	683	3486
102	688	3468
103	692	3448
104	696	3427
105	700	3407
106	704	3389
107	708	3369
108	712	3351
109	715	3332
110	721	3322
111	725	3304
112	729	3284
113	732	3266
114	737	3251
115	741	3233
116	744	3214
117	748	3197
118	752	3181
119	756	3165
120	760	3147
121	764	3131
122	767	3115
123	771	3099
124	775	3082
125	778	3065
126	781	3046
127	785	3032
128	789	3015
129	792	2998
130	795	2981
131	798	2964
132	802	2950
133	806	2936
134	809	2921
135	813	2906
136	817	2895
137	821	2882
138	826	2871
139	830	2858
140	834	2847
141	838	2835
142	842	2820
143	845	2807
144	850	2796
145	853	2784
146	857	2771
147	861	2758
148	865	2746
149	869	2734
150	872	2721
151	876	2709
152	879	2697
153	884	2687
154	887	2674
155	891	2663
156	899	2662
